"staAmp","spdFac","movVel","sacDur","direction","time_between","time_between_sd","N","time_between_se","movVelAbs","assumedDist","assumed_time_between"
4,0.25,178.78,0.0338,"1",43.5518616618638,0.52819529376288,22,0.112611615005908,44.695,2,44.7477346459335
4,0.25,178.78,0.0338,"2",43.7782818623203,0.474666463935078,22,0.101199230140943,44.695,2,44.7477346459335
4,0.33333,178.78,0.0338,"1",33.2781652581541,0.614563879849974,22,0.131025459430298,59.5927374,2,33.5611365958161
4,0.33333,178.78,0.0338,"2",33.4714051823718,0.370211030361644,24,0.0755690101280033,59.5927374,2,33.5611365958161
4,0.5,178.78,0.0338,"1",22.0198710089682,0.486737609751709,23,0.101491807496919,89.39,2,22.3738673229668
4,0.5,178.78,0.0338,"2",21.9649589586514,0.532618724824163,22,0.113554693676923,89.39,2,22.3738673229668
4,0.66667,178.78,0.0338,"1",16.4926792290424,0.351512236629764,23,0.073295368054747,119.1872626,2,16.7803165906421
4,0.66667,178.78,0.0338,"2",16.6765326735773,0.274715240525636,24,0.0560760136544799,119.1872626,2,16.7803165906421
4,0.8,178.78,0.0338,"1",13.8402129942921,0.276344293507685,24,0.0564085427019782,143.024,2,13.9836670768542
4,0.8,178.78,0.0338,"2",13.7560208498571,0.214402784729255,22,0.0457108272929148,143.024,2,13.9836670768542
4,1,178.78,0.0338,"1",11.2505250558753,0.253169166870237,23,0.0527894204872653,178.78,2,11.1869336614834
4,1,178.78,0.0338,"2",11.2512148257615,0.306338706665323,25,0.0612677413330645,178.78,2,11.1869336614834
4,1.25,178.78,0.0338,"1",9.16128581615495,0.337607379496525,22,0.0719781351555996,223.475,2,8.94954692918671
4,1.25,178.78,0.0338,"2",9.12511995258459,0.219915370227081,23,0.0458555245650445,223.475,2,8.94954692918671
6,0.25,239.44,0.0392,"1",33.1768201967774,0.621752057469332,16,0.155438014367333,59.86,2,33.4112930170398
6,0.25,239.44,0.0392,"2",33.0866213177389,0.539841817522618,16,0.134960454380655,59.86,2,33.4112930170398
6,0.33333,239.44,0.0392,"1",24.8358921456377,0.276747814456859,16,0.0691869536142149,79.8125352,2,25.0587203499833
6,0.33333,239.44,0.0392,"2",24.7566590669869,0.289333784035598,16,0.0723334460088996,79.8125352,2,25.0587203499833
6,0.5,239.44,0.0392,"1",16.5611504890109,0.364131992317433,16,0.0910329980793582,119.72,2,16.7056465085199
6,0.5,239.44,0.0392,"2",16.6135472080972,0.506178029782624,16,0.126544507445656,119.72,2,16.7056465085199
