"staAmp","spdFac","movVel","sacDur","direction","time_between","time_between_sd","N","time_between_se","movVelAbs","assumedDist","assumed_time_between"
10,1,323.1,0.05,"2",6.36679716717417,0.164466930812111,16,0.0411167327030276,323.1,2,6.19003404518725
10,1.25,323.1,0.05,"1",5.07788792335673,0.244078823212602,16,0.0610197058031506,403.875,2,4.9520272361498
10,1.25,323.1,0.05,"2",5.29385187269276,0.373590786601792,16,0.093397696650448,403.875,2,4.9520272361498
12,0.25,351.48,0.0554,"1",23.5918452427521,0.79036623547709,23,0.164802752481001,87.87,2,22.7608967793331
12,0.25,351.48,0.0554,"2",23.6754978186656,0.573655713826884,23,0.119615485039106,87.87,2,22.7608967793331
12,0.33333,351.48,0.0554,"1",17.7479745627306,0.396407580150671,24,0.0809163584617141,117.1588284,2,17.0708432929328
12,0.33333,351.48,0.0554,"2",17.693908107522,0.395538482777505,24,0.0807389547032933,117.1588284,2,17.0708432929328
12,0.5,351.48,0.0554,"1",12.122260999116,0.27384315302302,22,0.0583835563935869,175.74,2,11.3804483896666
12,0.5,351.48,0.0554,"2",11.8690185544217,0.251703811506293,22,0.0536634329225791,175.74,2,11.3804483896666
12,0.66667,351.48,0.0554,"1",8.88086120752635,0.32815665840655,24,0.0669846973994039,234.3211716,2,8.53529361578183
12,0.66667,351.48,0.0554,"2",8.85685109705113,0.26578072669544,24,0.0542522636558284,234.3211716,2,8.53529361578183
12,0.8,351.48,0.0554,"1",7.4378040835362,0.330523720202174,23,0.0689189598499207,281.184,2,7.11278024354159
12,0.8,351.48,0.0554,"2",7.47052145463384,0.374218415296793,23,0.0780299335949778,281.184,2,7.11278024354159
12,1,351.48,0.0554,"1",6.02463133107317,0.190150359164005,24,0.0388142795298972,351.48,2,5.69022419483328
12,1,351.48,0.0554,"2",5.97256011921524,0.266446729946249,24,0.0543882110001214,351.48,2,5.69022419483328
12,1.25,351.48,0.0554,"1",4.90117944252908,0.160756802870808,23,0.0335201105562951,439.35,2,4.55217935586662
12,1.25,351.48,0.0554,"2",4.77293814741812,0.221725102598213,25,0.0443450205196427,439.35,2,4.55217935586662
